filepath,label
/Users/drea/Library/Mobile Documents/com~apple~CloudDocs/SONA AI/data/raw/archive/files/00026029e0--64991bfc63d8b20f56d0e1fb/surprised.wav,surprised
/Users/drea/Library/Mobile Documents/com~apple~CloudDocs/SONA AI/data/raw/audio/joyfully.wav,joyfully
/Users/drea/Library/Mobile Documents/com~apple~CloudDocs/SONA AI/data/raw/archive/files/00026029e0--6499205bea5ed167d5bc8a8c/joyfully.amr,joyfully
/Users/drea/Library/Mobile Documents/com~apple~CloudDocs/SONA AI/data/raw/archive/files/00026029e0--64992099ffab6240f9f3521f/joyfully.wav,joyfully
/Users/drea/Library/Mobile Documents/com~apple~CloudDocs/SONA AI/data/raw/archive/files/00026029e0--6499205bea5ed167d5bc8a8c/sad.amr,sad
/Users/drea/Library/Mobile Documents/com~apple~CloudDocs/SONA AI/data/raw/archive/files/00026029e0--64991bf2ffab6240f9f2418b/sad.wav,sad
/Users/drea/Library/Mobile Documents/com~apple~CloudDocs/SONA AI/data/raw/archive/files/00026029e0--6499226eef1fe70609d66276/euphoric.wav,euphoric
/Users/drea/Library/Mobile Documents/com~apple~CloudDocs/SONA AI/data/raw/archive/files/00026029e0--64991b7fd94c0d5726dec353/sad.wav,sad
/Users/drea/Library/Mobile Documents/com~apple~CloudDocs/SONA AI/data/raw/archive/files/00026029e0--64992044d94c0d5726dfffc7/euphoric.wav,euphoric
/Users/drea/Library/Mobile Documents/com~apple~CloudDocs/SONA AI/data/raw/archive/files/00026029e0--64992161e0daf97163c2535a/surprised.wav,surprised
/Users/drea/Library/Mobile Documents/com~apple~CloudDocs/SONA AI/data/raw/archive/files/00026029e0--64991bf2ffab6240f9f2418b/euphoric.mpeg,euphoric
/Users/drea/Library/Mobile Documents/com~apple~CloudDocs/SONA AI/data/raw/audio/euphoric.mpeg,euphoric
/Users/drea/Library/Mobile Documents/com~apple~CloudDocs/SONA AI/data/raw/archive/files/00026029e0--6499261299d64c4c5d32c8e2/joyfully.wav,joyfully
/Users/drea/Library/Mobile Documents/com~apple~CloudDocs/SONA AI/data/raw/archive/files/00026029e0--64992143ffab6240f9f3787a/sad.wav,sad
/Users/drea/Library/Mobile Documents/com~apple~CloudDocs/SONA AI/data/raw/archive/files/00026029e0--64992031e0daf97163c20229/surprised.wav,surprised
/Users/drea/Library/Mobile Documents/com~apple~CloudDocs/SONA AI/data/raw/audio/surprised.amr,surprised
/Users/drea/Library/Mobile Documents/com~apple~CloudDocs/SONA AI/data/raw/archive/files/00026029e0--64991bfc63d8b20f56d0e1fb/joyfully.wav,joyfully
/Users/drea/Library/Mobile Documents/com~apple~CloudDocs/SONA AI/data/raw/archive/files/00026029e0--6499219aea5ed167d5bccf6f/sad.amr,sad
/Users/drea/Library/Mobile Documents/com~apple~CloudDocs/SONA AI/data/raw/archive/files/00026029e0--64992044d94c0d5726dfffc7/sad.wav,sad
/Users/drea/Library/Mobile Documents/com~apple~CloudDocs/SONA AI/data/raw/archive/files/00026029e0--6499219aea5ed167d5bccf6f/euphoric.amr,euphoric
/Users/drea/Library/Mobile Documents/com~apple~CloudDocs/SONA AI/data/raw/archive/files/00026029e0--64991b72e0daf97163c09c66/joyfully.wav,joyfully
/Users/drea/Library/Mobile Documents/com~apple~CloudDocs/SONA AI/data/raw/archive/files/00026029e0--64991bfc63d8b20f56d0e1fb/euphoric.wav,euphoric
/Users/drea/Library/Mobile Documents/com~apple~CloudDocs/SONA AI/data/raw/archive/files/00026029e0--64992161e0daf97163c2535a/joyfully.wav,joyfully
/Users/drea/Library/Mobile Documents/com~apple~CloudDocs/SONA AI/data/raw/archive/files/00026029e0--6499219aea5ed167d5bccf6f/joyfully.wav,joyfully
/Users/drea/Library/Mobile Documents/com~apple~CloudDocs/SONA AI/data/raw/archive/files/00026029e0--64991c3e63d8b20f56d0eeba/euphoric.wav,euphoric
/Users/drea/Library/Mobile Documents/com~apple~CloudDocs/SONA AI/data/raw/archive/files/00026029e0--64992143ffab6240f9f3787a/euphoric.wav,euphoric
/Users/drea/Library/Mobile Documents/com~apple~CloudDocs/SONA AI/data/raw/archive/files/00026029e0--649920f4ffab6240f9f3677a/sad.wav,sad
/Users/drea/Library/Mobile Documents/com~apple~CloudDocs/SONA AI/data/raw/archive/files/00026029e0--649920f4ffab6240f9f3677a/joyfully.wav,joyfully
